No,名称,属性,攻撃力,特性,容量,枚数制限,レア度,コード
44,ローリングログ3,木,90,[の],38,3,☆3,FNW
45,アイアンシェル1,ブレイク,70,"[の]
[無]
[ブ]",13,5,☆1,JKL
46,アイアンシェル2,ブレイク,100,"[の]
[無]
[ブ]",20,4,☆2,CDE
47,アイアンシェル3,ブレイク,130,"[の]
[無]
[ブ]",27,4,☆3,LMN
48,オーラヘッド1,ブレイク,130,"[の]
[無]
[ブ]",25,4,☆1,BCD
49,オーラヘッド2,ブレイク,150,"[の]
[無]
[ブ]",33,3,☆2,DEF
50,オーラヘッド3,ブレイク,170,"[の]
[無]
[ブ]",39,3,☆3,FGH
51,エアホッケー,ブレイク,60,"[の]
[ブ]",19,5,☆3,LMN
52,ドリルアーム,ブレイク,70,"[の]
[吹]
[ブ]",32,3,☆3,GMW
53,トルネード,風,20,"[の]
[ブ]",16,5,☆3,LRT
54,ノイズストーム,風,20,[の],30,3,☆3,GSV
55,マシンガン1,カーソル,30,"[の]
[地]",12,5,☆1,ART*
56,マシンガン2,カーソル,50,"[の]
[地]",24,4,☆2,EGS
57,マシンガン3,カーソル,70,"[の]
[地]",36,3,☆3,BFM
58,ミニボム,無,50,[地],6,5,☆1,BLR*
59,ビッグボム,無,140,"[の]
[無]
[地]",32,3,☆4,OPV
60,エナジーボム,無,40,"[の]
[無]
[地]",11,5,☆2,CKV*
61,メガエナジーボム,無,60,"[の]
[無]
[地]",27,4,☆3,GMO*
62,フラッシュボム1,無,40,"[の]
[イ]
[地]
[マ]",30,3,☆1,JLQ*
63,フラッシュボム2,無,70,"[の]
[イ]
[地]
[マ]",34,3,☆2,GKR
64,フラッシュボム3,無,100,"[の]
[イ]
[地]
[マ]",38,3,☆3,HPS
65,ブラックボム,炎,250,"[の]
[無]
[ブ]
[地]",32,3,☆4,BFO
66,バグボム,無,0,"[地]
[混]
[バ]",24,4,☆3,GSV
67,クサムラシード,木,0,[の],19,5,☆2,AFS*
68,アイスシード,水,0,[の],31,3,☆2,ALR*
69,ポイズンシード,無,0,[の],37,3,☆3,HNP*
70,ソード,ソード,80,"[の]
[無]
[ソ]",8,5,☆1,HLS*
71,ワイドソード,ソード,80,"[の]
[無]
[ソ]",12,5,☆2,HLS*
72,ロングソード,ソード,100,"[の]
[無]
[ソ]",25,4,☆3,HLS*
73,ワイドブレード,ソード,150,"[の]
[無]
[ソ]",38,3,☆4,BRW
74,ロングブレード,ソード,150,"[の]
[無]
[ソ]",38,3,☆4,BMV
75,フレイムソード,炎,140,"[の]
[無]
[ソ]",30,3,☆2,FOZ
76,アクアソード,水,160,"[の]
[無]
[ソ]",32,3,☆3,AIY
77,エレキソード,電気,120,"[の]
[ソ]
[マ]",35,3,☆3,EKN
78,バンブーソード,木,150,"[の]
[ソ]",34,3,☆3,HSW
79,フウジンラケット,風,140,"[の]
[吹]",19,5,☆3,FJR*
80,フミコミザン,ソード,160,"[の]
[無]
[ソ]",28,4,☆3,BLP
81,バリアブルソード,ソード,160,"[の]
[無]
[ソ]",28,4,☆3,KVW
82,ネオバリアブル,ソード,220,"[の]
[無]
[ソ]",52,1,☆4,N
83,エンゲツクナイ,ソード,130,"[の]
[無]
[ソ]
[バ]",35,3,☆3,AMT
84,ムラマサブレード,ソード,-1,"[の]
[無]
[ソ]",77,1,☆4,M
85,マシーンソード,無,200,"[の]
[無]
[ソ]",37,3,☆1,HLQ
86,エレメントソード,無,220,"[の]
[無]
[ソ]",43,2,☆2,JMU
87,アサシンソード,無,240,"[の]
[無]
[ソ]",50,1,☆3,NRY
88,クラックシュート,無,60,[の],4,5,☆1,AGT*
89,ダブルシュート,無,60,[の],8,5,☆2,CRU*
90,トリプルシュート,無,100,[の],12,5,☆3,JLV*
91,リフレクメット1,無,60,,7,5,☆1,ACP*
92,リフレクメット2,無,120,,16,5,☆2,BGY*
93,リフレクメット3,無,200,,25,4,☆3,EFO*
94,ウェーブアーム1,無,80,"[の]
[無]",15,5,☆1,EFG
95,ウェーブアーム2,無,120,"[の]
[無]",22,4,☆2,LMN
96,ウェーブアーム3,無,160,"[の]
[無]",29,4,☆3,RST
97,サンドワーム1,無,130,"[の]
[無]
[地]",30,3,☆1,AGL
98,サンドワーム2,無,150,"[の]
[無]
[地]",34,3,☆2,BRY
99,サンドワーム3,無,170,"[の]
[無]
[地]",38,3,☆3,HJS
100,サモンブラック1,無,160,"[暗]
[の]
[無]
[ソ]",30,3,☆1,EIP
101,サモンブラック2,無,200,"[暗]
[の]
[無]
[ソ]",40,2,☆2,HOV
102,サモンブラック3,無,260,"[暗]
[の]
[無]
[ソ]",46,2,☆3,WYZ
103,カモンスネーク,無,20,"[暗]
[の]
[無]",34,3,☆4,HLM
104,ナンバーボール,無,-1,"[暗]
[の]
[無]",69,1,☆5,N
105,ファイアパンチ1,炎,60,"[の]
[無]",12,5,☆1,DEF
106,ファイアパンチ2,炎,120,"[の]
[無]",22,4,☆2,RST
107,ファイアパンチ3,炎,180,"[の]
[無]",32,3,☆3,ABC
108,バーンスクエア1,炎,100,"[暗]
[の]
[無]",24,4,☆1,HPV
109,バーンスクエア2,炎,120,"[暗]
[の]
[無]",30,3,☆2,DMT
110,バーンスクエア3,炎,140,"[暗]
[の]
[無]",36,3,☆3,EOZ
111,リュウセイグン,炎,40,"[の]
[無]
[地]",73,1,☆5,R
112,アクアニードル1,水,40,"[の]
[無]
[地]",31,3,☆1,CJP
113,アクアニードル2,水,60,"[の]
[無]
[地]",35,3,☆2,FKT
114,アクアニードル3,水,80,"[の]
[無]
[地]",39,3,☆3,ALU
115,ブリザードボール,水,150,"[の]
[無]",39,3,☆4,HNT
116,キラーセンサー1,電気,100,"[暗]
[ブ]
[イ]
[マ]",32,3,☆1,JOW
117,キラーセンサー2,電気,130,"[暗]
[ブ]
[イ]
[マ]",35,3,☆2,NUY
118,キラーセンサー3,電気,160,"[暗]
[ブ]
[イ]
[マ]",38,3,☆3,IKQ
119,ブーメラン,木,100,[の],16,5,☆2,JKT
120,ハイブーメラン,木,140,[の],26,4,☆3,BLV
121,メガブーメラン,木,170,[の],36,3,☆4,IMW
122,バンブーランス,木,150,"[の]
[吹]",42,2,☆4,ARW*
123,ヒートドラゴン,炎,140,"[の]
[無]",40,2,☆3,GRT
124,エレキドラゴン,電気,150,"[の]
[無]",40,2,☆3,ALV
125,アクアドラゴン,水,120,"[の]
[無]",44,2,☆4,HPS
126,ウッドドラゴン,木,130,[の],48,2,☆4,GTV
127,ゴーレムパンチ1,ブレイク,140,"[の]
[無]
[地]",17,5,☆1,IKY
128,ゴーレムパンチ2,ブレイク,190,"[の]
[無]
[地]",27,4,☆2,DPU
129,ゴーレムパンチ3,ブレイク,250,"[の]
[無]
[地]",37,3,☆3,HMV
130,ジャスティスワン,ブレイク,220,"[の]
[無]
[地]",90,1,☆5,J
131,エアホイール1,風,50,[の],22,4,☆2,FGR
132,エアホイール2,風,50,[の],29,4,☆3,ALT
133,エアホイール3,風,50,[の],36,3,☆4,NOT
134,トップウ,風,0,"[暗]
[吹]",10,5,☆2,*
135,スイコミ,風,0,"[暗]
[吹]",10,5,☆2,*
136,マグナム,カーソル,130,"[暗]
[の]
[無]
[地]",31,3,☆3,FLW
137,サークルガン,カーソル,150,"[暗]
[の]
[無]
[地]",35,3,☆3,PTV
138,ストーンキューブ,置き物,0,"[暗]
[の]
[無]
[ブ]",6,5,☆1,*
139,リトルボイラー1,置き物,100,"[の]
[無]
[ブ]
[地]",18,5,☆1,FKL
140,リトルボイラー2,置き物,140,"[の]
[無]
[ブ]
[地]",23,4,☆2,EMV
141,リトルボイラー3,置き物,180,"[の]
[無]
[ブ]
[地]",28,4,☆3,GSZ
142,エアレイド1,置き物,10,"[暗]
[地]",26,4,☆1,GKR
143,エアレイド2,置き物,10,"[暗]
[地]",32,3,☆2,OTY
144,エアレイド3,置き物,10,"[暗]
[地]",39,3,☆3,NUZ
145,カウントボム1,置き物,150,"[暗]
[の]
[無]",20,4,☆2,FGH
146,カウントボム2,置き物,190,"[暗]
[の]
[無]",30,3,☆3,CDE
147,カウントボム3,置き物,230,"[暗]
[の]
[無]",37,3,☆4,LMN
148,ステルスマイン,置き物,200,"[暗]
[の]
[無]
[ブ]
[イ]
[地]",28,4,☆3,AST
149,オウエンカ,置き物,0,[暗],20,4,☆2,PSZ*
150,ディスコード,置き物,0,"[暗]
[混]",20,4,☆2,AGS*
151,ティンパニー,置き物,0,"[暗]
[移]",20,4,☆2,IOT*
152,サイレンス,置き物,0,"[暗]
[盲]",20,4,☆2,BRW*
153,ワラニンギョウ,置き物,0,"[暗]
[の]
[無]
[イ]
[地]",39,3,☆4,FNS*
154,オジゾウサン,置き物,200,"[暗]
[の]
[無]
[ブ]
[イ]
[地]",64,1,☆5,O
155,ポイズンアヌビス,置き物,0,[暗],86,1,☆5,P
156,リカバリー10,無,0,,4,5,☆1,ADL*
157,リカバリー30,無,0,,12,5,☆1,ELQ*
158,リカバリー50,無,0,,18,5,☆1,CMP*
159,リカバリー80,無,0,,24,4,☆2,HKV*
160,リカバリー120,無,0,,32,3,☆2,FPS
161,リカバリー150,無,0,,38,3,☆3,JMT
162,リカバリー200,無,0,,42,2,☆3,IQZ
163,リカバリー300,無,0,,48,2,☆4,JOY
164,パネルスチール,無,0,"[暗]
[の]
[地]",6,5,☆1,*
165,エリアスチール,無,0,"[暗]
[の]
[地]",8,5,☆2,BFS*
166,スチールパニシュ,無,0,"[暗]
[の]
[無]
[吹]
[イ]
[地]",24,4,☆3,BMS
167,スチールリベンジ,無,0,"[暗]
[の]
[無]
[吹]
[イ]
[地]",50,1,☆4,IQZ
168,パネルリターン,無,0,[暗],14,5,☆2,*
169,デスマッチ,無,0,[暗],47,2,☆3,ALR*
170,ホーリーパネル,無,0,[暗],24,4,☆2,ABS*
171,サンクチュアリ,無,0,[暗],62,1,☆5,Z
172,カミングロード,無,0,[暗],21,4,☆1,*
173,ゴーイングロード,無,0,[暗],21,4,☆1,*
174,ヘビーゲージ,無,0,[暗],42,2,☆3,ABG*
175,クイックゲージ,無,0,[暗],48,2,☆3,EMR*
176,フルカスタム,無,0,,50,1,☆4,*
177,バスターアップ,数値付加,0,,11,5,☆2,*
178,バグシュウセイ,無,0,[暗],62,1,☆4,KPZ*
179,インビジブル,無,0,[暗],30,3,☆3,*
180,バリア,無,0,[暗],7,5,☆2,AFR*
181,バリア100,無,0,[暗],30,3,☆3,HOY
182,バリア200,無,0,[暗],52,1,☆4,KUW
183,バブルラップ,水,0,[暗],58,1,☆3,IQZ
184,ドリームオーラ,無,0,[暗],70,1,☆5,U
185,マグネコイル,無,0,[の],14,5,☆1,*
186,カーネルアーミー,無,40,[マ],25,4,☆3,BGR*
187,エレメントラップ,無,240,"[暗]
[の]
[無]",42,2,☆3,GSU*
188,ナビスカウト,無,0,[暗],50,1,☆4,FLT*
189,カワリミ,無,100,"[暗]
[の]
[ソ]
[地]",30,3,☆3,GRV*
190,シラハドリ,ソード,0,"[暗]
[の]
[無]",33,3,☆3,ARZ*
191,バッドメディスン,無,0,[暗],37,3,☆3,AFV*
192,ホワイトカプセル,無,0,,30,3,☆2,*
193,アンインストール,無,0,,60,1,☆4,GLR
194,コピーダメージ,カーソル,0,,12,5,☆2,*
195,ライフシンクロ,カーソル,0,[暗],12,5,☆2,*
196,アタック+10,数値付加,0,,4,5,☆1,*
197,アタック+30,数値付加,0,,66,1,☆4,*
198,ナビ+20,数値付加,0,,36,3,☆3,*
199,カラーポイント,数値付加,0,[暗],31,3,☆2,*
200,ダブルポイント,数値付加,0,[暗],50,1,☆4,*
-,"パンチアーム
(ゲート限定)",炎,0,"[の]
[無]",0,0,-,
-,"ニードルアーム
(ゲート限定)",水,0,"[の]
[無]
[地]",0,0,-,
-,"パルスアーム
(ゲート限定)",電気,0,"[イ]
[マ]",0,0,-,
-,"ブーメランアーム
(ゲート限定)",木,0,[の],0,0,-,
-,"ダークソード
(ゲート限定)",ソード,0,"[の]
[無]
[ソ]",0,0,-,
-,"ダークサンダー
(ゲート限定)",電気,0,[マ],0,0,-,
-,"ダークリカバリー
(ゲート限定)",無,0,,0,0,-,
-,"ダークインビジ
(ゲート限定)",無,0,[暗],0,0,-,
-,"ダークプラス
(ゲート限定)",数値付加,0,,0,0,-,
